LCLid,stdorToU,Acorn_grouped,cluster,avg_daily_mean,avg_daily_max,avg_daily_std,avg_daily_sum,avg_cv,avg_peak_ratio,avg_load_factor,variability
MAC002464,ToU,Adversity,0,0.16328836568176408,0.7780089552238806,0.12104989064836008,7.8157164177611955,0.6994796981015984,4.489362179056003,0.3149111091194401,0.031391642197334056
MAC005134,ToU,Affluent,0,0.21443308340131675,0.6584718746875,0.14334108844344068,10.244315624843749,0.6603421667861211,3.076079367862727,0.3412669857835268,0.05138033186672888
MAC004796,Std,Adversity,0,0.1454040463421104,0.4742262247838616,0.10311615741529583,6.961321325648415,0.7040825262025101,3.2906617751316016,0.3191602149775286,0.04356110252686417
MAC000817,ToU,Affluent,0,0.29526504447892227,0.8520310650887574,0.26300112901010503,14.144553257396451,0.86824552295575,3.266732044689882,0.33087288161986483,0.2059248825465502
MAC001542,ToU,Comfortable,0,0.1648306940879449,0.5184838214175657,0.09288826267476884,7.886981510169496,0.5611844995995263,3.127789185117113,0.3488445696605899,0.023727025321128546
MAC001957,Std,Affluent,0,0.1214585078303007,0.5534705882352942,0.1388381323982045,4.756882352941177,1.0679814094983864,4.49894414681458,0.35500524870922084,0.047375264149386885
MAC003311,Std,Adversity,0,0.12121651930729249,0.5624408396946566,0.11557708922005996,5.803284351145039,0.9417244452019095,4.642075365082093,0.24353036193082284,0.026528268139645893
MAC000981,Std,Adversity,1,0.37702137012003684,1.4989028415545589,0.29262222435499174,18.002040360538114,0.7571306279396014,3.9212760274132714,0.2789299817818274,0.09521848479089431
MAC004316,Std,Adversity,0,0.18880506021006366,0.6018538096423017,0.10574585169028082,9.02921306314152,0.5413219932645523,3.12240139106825,0.3484255958513317,0.039047456528749955
MAC001202,ToU,Affluent,1,0.5940125269647366,1.9304787871212128,0.40366170355908804,28.464645450151522,0.7375675866361763,3.516916784903141,0.323513186822543,0.23453847855555746
MAC002846,Std,Adversity,0,0.16468697126073611,0.8042106056060606,0.15561387923661374,7.8522106065151505,0.9351324825403112,4.879321895352874,0.22576181040165355,0.04284187618932936
MAC002100,Std,Affluent,0,0.28109023916995385,1.087911717495987,0.26055944900908085,13.480654898073835,0.9259409744545751,4.093855192382531,0.27000311109146374,0.12681774868831874
MAC001521,Std,Affluent,0,0.26554202179947295,0.7425743034055727,0.1314093584295035,12.707854488854489,0.47702482511398847,2.7226768529639207,0.4030750065783071,0.04986595300665554
MAC002550,Std,Affluent,0,0.20411062855409912,0.8929683873544095,0.19752147989351376,9.773445923793677,0.9791336864430936,4.524755876615218,0.24116165740381243,0.07131776324999403
MAC002450,Std,Adversity,0,0.04291797079419324,0.15381464872944695,0.034766929030998935,2.051307922272048,0.7935760875635981,3.455096735053239,0.3856150289136835,0.01788189997498088
MAC002915,ToU,Comfortable,0,0.28411075518923173,0.948141678747941,0.20222721930935317,13.584403623064253,0.6569753576870556,3.172901957351672,0.35907966957057075,0.10309288056950706
MAC000798,Std,Affluent,0,0.09136254564011201,0.43486834334319524,0.07886507684325869,4.375813609467454,0.8561450218501299,4.699133290688687,0.25005454869189325,0.03315256175329609
MAC000617,ToU,Adversity,0,0.08390128414901113,0.3172601744186046,0.06701868508173746,4.015735465116278,0.8241053429428011,3.869443924814276,0.2789307713141108,0.01953186606699254
MAC003980,Std,Adversity,0,0.12078637001831528,0.8196423836092714,0.15639085216816112,5.772170528311259,1.2871745887914703,6.674991620751505,0.18654217181391114,0.04574724317668248
MAC002231,Std,Comfortable,1,0.4678372305863224,3.592769111176469,0.6198285271595868,22.376001458970592,1.3167131567147086,7.683665003408828,0.14699120525383041,0.10406217190849992
MAC000129,Std,Affluent,0,0.2160074337926834,0.8569159453646478,0.18749298903563827,10.339458588380715,0.7632437810968169,3.646362627261021,0.3527453004642475,0.1360535208411165
MAC004247,Std,Affluent,1,0.4521943792231878,1.2901854706336942,0.28758996998768804,21.62750540741886,0.637607214635599,2.8385130776627605,0.3738466199710273,0.11232298111841559
MAC001224,Std,Affluent,1,0.7683738636625009,2.0125217402173914,0.40286184865557895,36.68332970797102,0.516259300918946,2.5893616685322307,0.405825236558933,0.20098699023455585
MAC004685,Std,Comfortable,0,0.19403865928232256,0.8210703534338359,0.1508077347154616,9.281134004857622,0.747753942879577,4.14116488150045,0.27295868477651025,0.04544058788710551
MAC000675,Std,Comfortable,0,0.14295857074400387,0.5997580649560116,0.14462444580662248,6.838598241202347,1.0416703180096143,4.293260105500556,0.2556325181903063,0.0730764960195667
MAC001681,Std,Adversity,0,0.03735126449992645,0.11735101404056161,0.024152227105665777,1.779887675819033,0.6124010107925629,2.971247922389994,0.39129646173186067,0.0302315736648529
MAC002456,Std,Adversity,0,0.1694000831683644,0.48298956780923985,0.13008047136394174,8.071366616989566,0.7760828767632966,2.8621608831458656,0.3665680013064598,0.03028024750414332
MAC002092,ToU,Affluent,0,0.2473782804078581,1.4256360183908043,0.2752912436922408,11.86856705172414,1.05800027010054,5.574358941888827,0.24645044599477403,0.0953240356024585
MAC002805,Std,Affluent,0,0.29407040306659826,0.7127791229954615,0.17648801159434588,14.023491679576402,0.6129195223238744,2.483345584356611,0.4217016266189107,0.06929358816130927
MAC001433,Std,Affluent,0,0.16397184921506566,0.8185398760736196,0.1682470841354655,7.8385260714723906,1.0214188190772804,5.127172343202639,0.22339219198922372,0.07918422395059013
MAC004158,Std,Affluent,0,0.30996624519516597,0.8978582443759635,0.18952939447323053,14.798049305547003,0.562290079221671,2.799825819835978,0.4410212190748792,0.11665397701065298
MAC002775,Std,Adversity,0,0.19110805201814413,0.6859062028744325,0.13265055583149774,9.135665658396372,0.6810327151317004,3.5576702902038,0.3075156544160368,0.04535975587302652
